Restricción,Slack o Excedente,Precio Dual
"NO_NEGATIVA_QIJK( 4, 2, 4)",4221.36,0.0
"NO_NEGATIVA_QIJK( 4, 3, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 4, 3, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 4, 3, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 4, 3, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 1, 1)",73051.88,0.0
"NO_NEGATIVA_QIJK( 5, 1, 2)",35771.77,0.0
"NO_NEGATIVA_QIJK( 5, 1, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 1, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 2, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 2, 2)",4812.608,0.0
"NO_NEGATIVA_QIJK( 5, 2, 3)",29220.75,0.0
"NO_NEGATIVA_QIJK( 5, 2, 4)",19480.5,0.0
"NO_NEGATIVA_QIJK( 5, 3, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 3, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 3, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 5, 3, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 1, 1)",21414.65,0.0
"NO_NEGATIVA_QIJK( 6, 1, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 1, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 1, 4)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 2, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 2, 2)",11897.02,0.0
"NO_NEGATIVA_QIJK( 6, 2, 3)",8565.858,0.0
"NO_NEGATIVA_QIJK( 6, 2, 4)",5710.572,0.0
"NO_NEGATIVA_QIJK( 6, 3, 1)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 3, 2)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 3, 3)",0.0,0.0
"NO_NEGATIVA_QIJK( 6, 3, 4)",0.0,0.0
"CERO_CREMA_MANTECA_SANTA_FE( 5, 1)",0.0,-31.6389
"CERO_CREMA_MANTECA_SANTA_FE( 5, 2)",0.0,47.28849
"CERO_CREMA_MANTECA_SANTA_FE( 5, 3)",0.0,0.5303514
"CERO_CREMA_MANTECA_SANTA_FE( 5, 4)",0.0,5.056791
"CERO_CREMA_MANTECA_SANTA_FE( 6, 1)",0.0,6.740664
"CERO_CREMA_MANTECA_SANTA_FE( 6, 2)",0.0,76.71334
"CERO_CREMA_MANTECA_SANTA_FE( 6, 3)",0.0,29.9552
"CERO_CREMA_MANTECA_SANTA_FE( 6, 4)",0.0,34.48164
"NO_NEGATIVA_STOCK_EN_POLVO( 1, 1)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 1, 2)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 1, 5)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 1, 6)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 2, 1)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 2, 2)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 2, 5)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 2, 6)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 3, 1)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 3, 2)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 3, 5)",0.0,0.0
"NO_NEGATIVA_STOCK_EN_POLVO( 3, 6)",0.0,0.0
"CERO_STOCK_FLUIDA_CREMA_MANTECA( 1, 3)",0.0,0.0
"CERO_STOCK_FLUIDA_CREMA_MANTECA( 1, 4)",116294.5,0.0
"CERO_STOCK_FLUIDA_CREMA_MANTECA( 2, 3)",0.0,0.0
"CERO_STOCK_FLUIDA_CREMA_MANTECA( 2, 4)",86849.99,0.0
"CERO_STOCK_FLUIDA_CREMA_MANTECA( 3, 3)",0.0,0.0
"CERO_STOCK_FLUIDA_CREMA_MANTECA( 3, 4)",0.0,0.0
NO_NEGATIVA_DESCREMADA_SANTA_FE( 1),0.0,0.0
NO_NEGATIVA_DESCREMADA_SANTA_FE( 2),0.0,0.0
NO_NEGATIVA_DESCREMADA_SANTA_FE( 3),0.0,0.0
CERO_DESCREMADA_BUCLE_SANTA_FE,0.0,-24.43994
NO_NEGATIVA_ENTERA_A_DESCREMADA( 1),2101778.0,0.0
NO_NEGATIVA_ENTERA_A_DESCREMADA( 2),1575179.0,0.0
NO_NEGATIVA_ENTERA_A_DESCREMADA( 3),0.0,0.0
CERO_ENTERA_DESCREMADA_BUCLE_SANTA_FE,0.0,0.0
NO_NEGATIVA_CREMA_PLANTA_J( 1),168142.2,0.0
NO_NEGATIVA_CREMA_PLANTA_J( 2),126014.3,0.0
NO_NEGATIVA_CREMA_PLANTA_J( 3),0.0,0.0
CERO_CREMA_SANTA_FE,0.0,0.0
