
 Ranges in which the basis is unchanged:

                                       Objective Coefficient Ranges:

                                        Current        Allowable        Allowable
                      Variable      Coefficient         Increase         Decrease
  DEMANDA_PRODUCTO_I_CENTRO_K(         40584.38         20834.07         954.9511
  DEMANDA_PRODUCTO_I_CENTRO_K(         29220.75         20834.07         954.9511
  DEMANDA_PRODUCTO_I_CENTRO_K(         19480.50         20834.07         954.9511
  DEMANDA_PRODUCTO_I_CENTRO_K(         21414.65         7521.325         344.7477
  DEMANDA_PRODUCTO_I_CENTRO_K(         11897.02         7521.325         344.7477
  DEMANDA_PRODUCTO_I_CENTRO_K(         8565.858         7521.325         344.7477
  DEMANDA_PRODUCTO_I_CENTRO_K(         5710.572         7521.325         344.7477
    DISPONIBILIDAD_LECHE_CRUDA        0.2751840E+08     INFINITY        0.2075407E+08
  ENTERA_A_DESCREMADA_PLANTA_J         0.000000         11936.89         260425.9
  ENTERA_A_DESCREMADA_PLANTA_J         0.000000         11936.89         260425.9
           DESCREMADA_SANTA_FE         0.000000         0.000000         1999796.
  CREMA_PRODUCIDA_PLANTA_J_( 1         0.000000         954.9511         20834.07
  CREMA_PRODUCIDA_PLANTA_J_( 2         0.000000         954.9511         20834.07
  MANTECA_PRODUCIDA_PLANTA_J_(         0.000000         20834.07         954.9511
  MANTECA_PRODUCIDA_PLANTA_J_(         0.000000         20834.07         954.9511
    LECHE_ENTERA_PLANTA_J_( 1)         1200000.         60157.59         59054.25
    LECHE_ENTERA_PLANTA_J_( 2)         1100000.         INFINITY         165851.4
  DISPONIBILIDAD_LECHE_FLUIDA_         1350000.         INFINITY         948713.6
  SUBPRODUCTO_CREMA_PLANTA_J_(         150000.0         INFINITY         41176.36
  SUBPRODUCTO_CREMA_PLANTA_J_(         200000.0         INFINITY         146486.1
  SUBPRODUCTO_MANTECA_PLANTA_J         70000.00         INFINITY         48585.35
  SUBPRODUCTO_MANTECA_PLANTA_J         90000.00         INFINITY         63826.55
               EN_POLVO_J_( 1)         200000.0         1035.739         22596.61
               EN_POLVO_J_( 2)         120000.0         1035.739         22596.61
               EN_POLVO_J_( 3)         110000.0         INFINITY         60386.67
    NO_NEGATIVA_QIJK( 1, 1, 1)         0.000000         722315.5         INFINITY
    NO_NEGATIVA_QIJK( 1, 1, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 1, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 1, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 2, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 2, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 2, 3)         0.000000         288926.2         INFINITY
    NO_NEGATIVA_QIJK( 1, 2, 4)         0.000000         192617.5         INFINITY
    NO_NEGATIVA_QIJK( 1, 3, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 3, 2)         0.000000         401286.4         INFINITY
    NO_NEGATIVA_QIJK( 1, 3, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 1, 3, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 1, 1)         0.000000         418630.3         INFINITY
    NO_NEGATIVA_QIJK( 2, 1, 2)         0.000000         59054.25         INFINITY
    NO_NEGATIVA_QIJK( 2, 1, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 1, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 2, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 2, 2)         0.000000         173518.1         INFINITY
    NO_NEGATIVA_QIJK( 2, 2, 3)         0.000000         167452.1         INFINITY
    NO_NEGATIVA_QIJK( 2, 2, 4)         0.000000         111634.7         INFINITY
    NO_NEGATIVA_QIJK( 2, 3, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 3, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 3, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 2, 3, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 1, 1)         0.000000         59080.86         INFINITY
    NO_NEGATIVA_QIJK( 3, 1, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 1, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 1, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 2, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 2, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 2, 3)         0.000000         22596.61         INFINITY
    NO_NEGATIVA_QIJK( 3, 2, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 3, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 3, 3, 2)         0.000000         32822.70         INFINITY
    NO_NEGATIVA_QIJK( 3, 3, 3)         0.000000         1035.739         INFINITY
    NO_NEGATIVA_QIJK( 3, 3, 4)         0.000000         15754.90         INFINITY
    NO_NEGATIVA_QIJK( 4, 1, 1)         0.000000         15830.10         INFINITY
    NO_NEGATIVA_QIJK( 4, 1, 2)         0.000000         8794.500         INFINITY
    NO_NEGATIVA_QIJK( 4, 1, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 1, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 2, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 2, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 2, 3)         0.000000         6332.040         INFINITY
    NO_NEGATIVA_QIJK( 4, 2, 4)         0.000000         4221.360         INFINITY
    NO_NEGATIVA_QIJK( 4, 3, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 3, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 3, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 4, 3, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 1, 1)         0.000000         73051.88         INFINITY
    NO_NEGATIVA_QIJK( 5, 1, 2)         0.000000         35771.77         INFINITY
    NO_NEGATIVA_QIJK( 5, 1, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 1, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 2, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 2, 2)         0.000000         4812.608         INFINITY
    NO_NEGATIVA_QIJK( 5, 2, 3)         0.000000         29220.75         INFINITY
    NO_NEGATIVA_QIJK( 5, 2, 4)         0.000000         19480.50         INFINITY
    NO_NEGATIVA_QIJK( 5, 3, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 3, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 3, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 5, 3, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 1, 1)         0.000000         21414.65         INFINITY
    NO_NEGATIVA_QIJK( 6, 1, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 1, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 1, 4)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 2, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 2, 2)         0.000000         11897.02         INFINITY
    NO_NEGATIVA_QIJK( 6, 2, 3)         0.000000         8565.858         INFINITY
    NO_NEGATIVA_QIJK( 6, 2, 4)         0.000000         5710.572         INFINITY
    NO_NEGATIVA_QIJK( 6, 3, 1)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 3, 2)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 3, 3)         0.000000         0.000000         INFINITY
    NO_NEGATIVA_QIJK( 6, 3, 4)         0.000000         0.000000         INFINITY
  CERO_STOCK_FLUIDA_CREMA_MANT         0.000000         0.000000         INFINITY
  CERO_STOCK_FLUIDA_CREMA_MANT         0.000000         116294.5         INFINITY
  CERO_STOCK_FLUIDA_CREMA_MANT         0.000000         0.000000         INFINITY
  CERO_STOCK_FLUIDA_CREMA_MANT         0.000000         86849.99         INFINITY
  CERO_STOCK_FLUIDA_CREMA_MANT         0.000000         0.000000         INFINITY
  CERO_STOCK_FLUIDA_CREMA_MANT         0.000000         0.000000         INFINITY
  NO_NEGATIVA_DESCREMADA_SANTA         0.000000         0.000000         INFINITY
  NO_NEGATIVA_DESCREMADA_SANTA         0.000000         0.000000         INFINITY
  NO_NEGATIVA_DESCREMADA_SANTA         0.000000         0.000000         INFINITY
  NO_NEGATIVA_ENTERA_A_DESCREM         0.000000         2101778.         INFINITY
  NO_NEGATIVA_ENTERA_A_DESCREM         0.000000         1575179.         INFINITY
  NO_NEGATIVA_ENTERA_A_DESCREM         0.000000         0.000000         INFINITY
   NO_NEGATIVA_CREMA_PLANTA_J(         0.000000         168142.2         INFINITY
   NO_NEGATIVA_CREMA_PLANTA_J(         0.000000         126014.3         INFINITY
   NO_NEGATIVA_CREMA_PLANTA_J(         0.000000         0.000000         INFINITY

